inventory_id,product_id,warehouse_id,stock_quantity,reserved_stock,damaged_stock,last_updated,remarks
1,4455,6844,249.0,58,11,2023-09-21,RMK-KARE38
2,12182,586,460.0,55,22,2024-10-01,RMK-E20H4Z
3,1229,10043,208.0,4,9,2023-05-27,RMK-7GJ18D
4,1472,348,384.0,94,3,12-03-2023,RMK-2Z7TTW
5,10174,4167,303.0,83,12,2024-11-10,RMK-RNHF2I
6,11658,6948,150.0,29,5,"Aug 03, 2023",RMK-NNVTUC
7,8441,10035,462.0,30,15,01-30-2023,RMK-LGAKO5
8,49,9436,365.0,10,4,01-06-2024,RMK-QHJIW8
9,3688,8091,14.0,1,0,2023-06-02,RMK-VJRGHC
10,1502,1060,354.0,5,7,"May 16, 2023",RMK-2FXXZ4
11,6372,4545,,,,"Feb 23, 2025",RMK-5FSBLX
12,11338,6798,119.0,6,5,11-26-2023,RMK-PU377T
13,18,6762,302.0,16,9,"Feb 04, 2023",RMK-XVC6II
14,807,1400,318.0,23,13,03-17-2025,RMK-UKLQSY
15,9728,872,367.0,110,18,"Feb 26, 2025",RMK-9Q6UN3
16,1022,1365,185.0,46,6,12-13-2024,RMK-CTNHO0
17,10982,1096,302.0,29,7,"Sep 21, 2024",RMK-V24TE1
18,3977,1350,370.0,11,11,12/01/2023,RMK-XJ5YWF
19,9260,5570,204.0,12,9,08-13-2024,RMK-NAET4B
20,6747,9062,173.0,13,8,"Dec 05, 2023",RMK-61JJAO
21,5919,2062,247.0,60,4,07-01-2024,RMK-ID7XQ1
22,7632,1762,41.0,11,1,"Aug 14, 2024",RMK-M7M87O
23,8576,8066,324.0,27,16,"Jun 07, 2023",RMK-GGJXMD
24,3859,9726,463.0,117,16,"Feb 02, 2025",RMK-SPEBZU
25,3088,2599,279.0,24,11,2023-11-05,RMK-KR9ST2
26,2844,5531,297.0,67,4,09-29-2024,RMK-PGFDYN
27,4564,4662,427.0,10,15,15/04/2023,RMK-34N17Q
28,7257,6244,316.0,18,4,"Jun 07, 2024",RMK-FDE7KC
29,2468,363,445.0,107,16,29/06/2024,RMK-WKABYA
30,3910,7347,305.0,32,3,26/02/2024,RMK-77SWMX
31,928,4941,96.0,15,2,"Apr 24, 2025",RMK-QR3XGQ
32,5576,5732,357.0,12,2,19/01/2024,RMK-MZ73E9
33,2106,37,71.0,9,3,04-01-2024,RMK-RT35DU
34,6101,5469,334.0,85,3,04-03-2024,RMK-IPIPGE
35,5106,4124,350.0,72,3,11-01-2023,RMK-4RSAYS
