order_item_id,order_id,product_id,quantity,unit_price,discount,returned_flag,batch_reference
1,37408,5628,6,98.48,22.15,No,BATCH-JNW2X8A7
2,20682,9300,8,1087.17,0.37,No,BATCH-PISPIUZM
3,15639,11947,6,838.9,30.48,No,BATCH-6BMNNTJX
4,14324,7718,4,1390.89,33.83,No,BATCH-01VYK1IT
5,31716,5116,5,538.63,22.62,No,BATCH-UO8SHE4N
6,36572,2445,5,1443.7,39.41,No,BATCH-P9T2CJ3T
7,39833,4342,7,551.54,30.37,No,BATCH-6V766W83
8,45338,3015,4,320.99,17.27,No,BATCH-G7EE2MOJ
9,24200,340,1,980.67,16.56,No,BATCH-JF04H1RQ
10,9868,8904,1,1044.08,7.0,No,BATCH-M55ICEDB
11,35055,2478,5,362.48,35.86,No,BATCH-T1W9CRU8
12,36984,8016,7,629.38,36.26,No,BATCH-VCS6XQA3
13,46187,8032,2,1173.52,11.51,No,BATCH-S1MLQVY7
14,45166,390,5,958.86,27.44,No,BATCH-8GYBJRC2
15,37911,5107,8,808.05,31.63,No,BATCH-OY60D7SK
16,7131,1527,6,810.79,14.4,No,BATCH-40MM57WJ
17,43341,4908,4,438.14,18.6,No,BATCH-Q1LYFRA5
18,19266,1680,8,923.02,34.4,No,BATCH-K7PR8SSL
19,24860,9743,1,1378.14,26.92,No,BATCH-VVWQUYNB
20,3950,3677,3,937.7,19.4,No,BATCH-Q7OW0UAR
21,33506,6562,8,946.52,29.22,No,BATCH-D2O6DW6R
22,34375,8285,8,896.52,3.75,No,BATCH-L0HOC88L
23,6076,5852,2,382.48,31.64,No,BATCH-8O9VSHJ4
24,36842,1024,5,752.6,4.55,No,BATCH-KGZORVOI
25,4214,2574,6,1202.74,4.27,No,BATCH-VI5CSZCE
26,27176,4832,7,1294.09,4.87,No,BATCH-TH71XDHU
27,20928,11722,6,1405.0,3.64,No,BATCH-X8PT1YMS
28,27074,11924,7,958.59,17.44,No,BATCH-RHLVPD1E
29,21870,3072,6,658.55,36.45,No,BATCH-6YQ6SYE7
30,21314,2327,4,942.89,21.6,No,BATCH-Y1C06KX4
31,36406,3524,1,387.99,36.13,No,BATCH-NNHQB09V
32,27415,5694,5,635.56,16.91,No,BATCH-18BUYRJC
33,24042,8523,1,592.71,30.63,No,BATCH-D09W5M5C
34,10634,3355,2,1461.53,10.67,No,BATCH-IP2KEUAT
35,21786,6562,6,709.16,38.53,No,BATCH-6YVL3T6D
36,34357,10026,5,1188.67,24.36,No,BATCH-A5VN1G87
37,4278,4982,7,767.77,1.51,No,BATCH-VLVPOZZJ
38,24733,6185,7,563.38,3.93,No,BATCH-GBUY39EI
39,27725,9476,1,637.3,16.65,No,BATCH-0FZ84T6Q
40,47907,9631,3,117.25,23.59,No,BATCH-E6ESE48U
41,40139,9519,7,823.31,38.55,No,BATCH-5G2T3074
42,31741,10657,3,1344.31,11.41,No,BATCH-R3VO7QGP
43,24573,9105,8,737.01,16.32,No,BATCH-K6O3B1JQ
44,7055,9713,2,1254.58,30.84,No,BATCH-B73MY1AM
45,47003,5300,1,1196.35,16.49,No,BATCH-F7LXH8YG
46,16102,7548,4,1383.13,26.57,No,BATCH-ZS78M67U
47,34570,5250,4,812.15,22.86,No,BATCH-WXHW8NN1
48,47572,2790,8,915.13,29.33,No,BATCH-7G2YQTTJ
49,49004,9495,3,1275.72,32.86,No,BATCH-YHV5JMNX
50,44366,11453,0,439.95,38.71,No,BATCH-XU1WK151
51,17068,5621,3,890.07,35.28,No,BATCH-JKB5WXHR
52,50265,9713,2,575.71,0.93,No,BATCH-F5KHOGHW
