order_id,customer_id,order_date,warehouse_id,order_status,shipment_status,payment_method,shipping_mode,session_id
1,120024,14/02/2024,8450,Processing,Returned,UPI,Same Day,SID-HXbWNdbIsuSV
2,204325,23/12/2024,7713,Delivered,Not Shipped,Credit Card,Express,SID-CRMAuBSjK2LC
3,206435,07-08-2023,3337,Pending,Returned,Wallet,Express,SID-pLSPerhIwUJK
4,144974,2025-01-07,6461,Pending,In Transit,Credit Card,Standard,SID-kaSlsJ6bOcWw
5,122490,19/03/2023,2225,Delivered,Returned,Cash on Delivery,Standard,SID-WYTDRjxticd8
6,198994,04-26-2025,934,Delivered,Packed,Debit Card,Standard,SID-qEscaM491yUL
7,237642,05-16-2024,4812,Returned,Delivered,UPI,Standard,SID-H5aYiYLmxsPb
8,244778,"Jan 24, 2025",1444,Cancelled,Packed,Wallet,Express,SID-VhwOzjdMR9yj
9,131176,07-07-2023,4840,Shipped,In Transit,Credit Card,Express,SID-K1N8EDqo4DO5
10,238987,2024-03-19,3878,Delivered,Packed,UPI,Next Day,SID-hQWcYZeMgGiJ
11,173106,"Jan 12, 2024",7581,Processing,Packed,Credit Card,Next Day,SID-uzvm8vapVSDc
12,188103,2023-03-31,9121,Delivered,Packed,UPI,Standard,SID-b4Zj28VVhoDl
13,202356,"May 31, 2024",9605,Shipped,In Transit,Credit Card,Standard,SID-1guwoAg6QnUP
14,177381,12-24-2023,1041,Pending,Packed,UPI,Same Day,SID-uxcRVlF6y2ZF
15,209282,11-02-2023,4110,Pending,Delivered,UPI,Express,SID-qg7t7X1ksLwl
16,109667,11-20-2023,9531,Processing,Delivered,Wallet,Standard,SID-OzkI6F9YoUNu
17,187845,06-18-2024,6658,Returned,Returned,Debit Card,Next Day,SID-7j91vHZUFmF5
18,137030,"Sep 11, 2023",8060,Cancelled,In Transit,Debit Card,Next Day,SID-4IrWIfCLAJW4
19,248939,"May 24, 2023",7784,Cancelled,Returned,Wallet,Express,SID-AYoGU01nKn86
20,176820,2023-06-14,9170,Cancelled,Delivered,UPI,Express,SID-QykAmQ4tYgr8
