product_id,product_name,brand,category,supplier_id,unit_cost,selling_price,reorder_level,temp_code,weight_kg,launch_date,is_discontinued
1,Logitech Lipstick,Nestle,Office Supplies,1578,21.2,39.56,48,TMP-QRAPN4,29.08,2020-03-08,No
2,Nestle Monitor,KitchenAid,Electronics,1759,274.4,529.82,28,TMP-3NDSR1,23.38,2025-06-10,No
3,IKEA Dog Food,Puma,Clothing,802,299.41,496.23,103,TMP-UGCFJC,45.88,2023-06-12,No
4,Apple Desk,Philips,Home & Kitchen,7495,312.51,683.48,33,TMP-26LTZG,16.49,2022-11-29,Yes
5,Dell Lipstick,Apple,pet supplies,3048,424.48,831.54,16,TMP-YC9XK6,8.1,2022-12-29,No
6,Apple Headphones,LEGO,TOYS,9861,364.83,546.42,28,TMP-1MX50U,9.62,2021-08-28,No
7,Logitech Phone,KitchenAid,Grocery,42,155.15,288.44,84,TMP-D23EA1,21.14,2018-09-15,No
8,KitchenAid Book,Logitech,Pet Supplies,7475,411.21,805.44,18,TMP-44NZDH,10.63,2025-04-25,No
9,Nestle Book,Puma,Home & Kitchen,9607,468.41,723.75,36,TMP-O2OBT2,33.26,2020-12-30,No
10,HP Toy Car,Logitech,Furniture,5660,95.5,182.54,36,TMP-GHN9IQ,11.49,2018-11-11,No
11,Nike Lipstick,LEGO,Sports,3599,32.49,36.71,99,TMP-E1FAZE,0.38,2023-03-16,No
12,Nike Laptop,Nike,Grocery,6163,311.98,412.16,84,TMP-ELTTFI,17.31,2018-03-31,No
13,Dell Chair,Whiskas,Automotive,5565,119.78,143.71,91,TMP-FI0RXK,0.52,2024-04-30,No
14,Logitech Toy Car,Canon,Pet Supplies,8987,334.89,478.53,91,TMP-RTPP3C,21.62,2021-02-11,Yes
15,Adidas Laptop,Logitech,Office Supplies,1773,307.73,575.29,38,TMP-2WD1XG,20.26,2026-03-03,No
16,Apple Book,IKEA,Grocery,7964,100.33,197.96,96,TMP-9PCQYR,8.36,2023-09-22,No
17,Philips Desk,Canon,Toys,7332,59.0,85.76,72,TMP-L4H2GK,34.57,2025-08-31,No
18,Apple Monitor,HP,Sports,2144,218.4,439.23,67,TMP-2HG7VZ,3.34,2024-06-15,No
19,Nestle Monitor,Canon,Sports,1737,453.74,629.35,30,TMP-4SE3L1,41.94,2019-05-02,No
20,Nestle Phone,Logitech,Toys,9432,128.9,163.64,118,TMP-PQQXDY,39.62,2019-07-29,No
21,Nike Keyboard,Samsung,AUTOMOTIVE,1437,244.35,488.73,66,TMP-YTR8MC,36.92,2024-02-20,No
22,Puma Monitor,HP,Electronics,10300,166.86,191.42,101,TMP-MLEQAZ,4.11,2019-09-07,No
23,LEGO Mouse,Whiskas,Electronics,6505,111.08,134.95,55,TMP-BDKC5Y,18.78,2018-09-02,No
24,Dell Book,LEGO,Toys,9962,404.44,737.25,22,TMP-GGZRU8,23.18,2020-02-28,No
25,Logitech Lipstick,Logitech,Home & Kitchen,3342,353.49,546.84,25,TMP-PW63S3,4.58,2019-09-23,No
26,Nike Chair,Logitech,Automotive,1269,221.31,463.4,52,TMP-QEWJYS,21.28,2023-11-18,No
27,HP Football,Nike,Beauty,1677,263.15,356.38,31,TMP-OE6VX5,12.26,2021-02-23,No
28,Nike Mixer,Adidas,Books,367,20.94,24.51,114,TMP-M5LKPA,0.65,2025-02-05,No
29,Samsung Phone,KitchenAid,Electronic,7000,362.17,433.64,108,TMP-J4TAQB,32.81,2018-07-02,No
30,Dell Football,Nestle,Clothing,5785,469.8,722.3,40,TMP-B0TOMQ,39.55,2023-04-15,No
31,IKEA Desk,Sony,Automotive,6956,461.32,759.03,31,TMP-PGYZJW,16.75,2019-07-02,No
32,Nike Printer,Sony,Books,7894,52.81,76.38,66,TMP-01X424,44.71,2022-06-30,No
33,IKEA Toy Car,Philips,Furniture,5732,19.57,35.12,31,TMP-4XFVPO,25.84,2020-06-04,No
34,Puma Toy Car,Dell,Home & Kitchen,149,5.81,12.18,61,TMP-USGL56,7.34,2019-05-13,No
35,Dell Bottle,Logitech,Office Supplies,3761,61.79,133.23,73,TMP-B2JGPS,43.02,2020-04-09,No
36,Canon Bottle,KitchenAid,Books,5889,24.94,32.01,78,TMP-1CWY3Y,25.68,2025-01-09,No
37,Adidas Bottle,HP,Automotive,6810,241.52,283.57,44,TMP-KJOWQZ,22.95,2024-03-27,No
38,Philips Football,Logitech,Pet Supplies,9510,494.28,864.49,40,TMP-A366M0,36.75,2020-09-12,No
39,Samsung Dog Food,Apple,Beauty,4857,414.17,658.14,35,TMP-SIPVNL,22.77,2021-05-01,No
40,Sony Toy Car,HP,beauty,1864,315.46,457.77,92,TMP-5ZEBKL,2.53,2021-11-04,No
41,Puma Phone,Logitech,Electronics,7774,142.9,218.54,34,TMP-OEY870,21.95,2018-07-31,No
42,HP Desk,Logitech,Sports,459,285.72,568.54,17,TMP-Q2L60W,47.54,2023-03-21,No
43,Philips Chair,LEGO,Toys,5111,420.12,773.87,26,TMP-I6WQ51,0.71,2023-01-26,No
44,Nike Dog Food,LEGO,Sports,3228,324.28,674.54,21,TMP-P2200S,24.4,2025-02-17,No
45, Samsung Printer ,HP,Furniture,273,45.54,67.66,51,TMP-TOGOQB,30.24,2019-05-12,No
46,Whiskas Laptop,Nike,Pet Supplies,4626,228.61,413.57,35,TMP-UWQE6I,16.98,2026-03-10,No
47,Philips Dog Food,KitchenAid,Clothing,5535,437.16,665.03,32,TMP-9K6XN1,35.7,2022-09-05,No
48,IKEA Laptop,LEGO,Books,7148,476.01,788.84,15,TMP-AU7YSN,11.96,2020-06-06,No
49,Adidas Printer,Canon,Books,3558,109.53,175.4,49,TMP-DIJDD3,49.07,2020-02-27,No
50,Canon Laptop,Canon,Automotive,6067,156.0,286.88,92,TMP-BCE3Z8,36.51,2024-08-02,No
51,Samsung Book,LEGO,PetSupply,6763,346.17,,104,TMP-786EH3,22.46,2018-06-04,No
52,Dell Football,Nestle,Electronics,4580,306.24,490.35,96,TMP-CZIMVJ,5.3,2023-12-01,No
53,Whiskas Phone,Dell,Sports,7390,409.07,776.76,34,TMP-JEVCOH,45.09,2023-09-14,No
54,Adidas Lipstick,KitchenAid,Toys,3456,413.61,638.94,18,TMP-GI3E1B,45.39,2019-03-26,No
55,Adidas Mouse,IKEA,Sports,2004,9.63,18.37,77,TMP-NBNMZZ,22.45,2024-05-26,No
56,HP Printer,Adidas,Electronics,183,68.09,122.28,113,TMP-JELV84,49.69,2022-07-09,No
57,Samsung Toy Car,Nike,Pet Supplies,8239,158.98,276.88,94,TMP-DNRVC0,5.87,2025-09-04,No
58,Philips Headphones,Puma,Toys,1902,407.7,891.7,26,TMP-VZAEPS,14.9,2020-08-21,No
59,Whiskas Mixer,Samsung,sports,554,373.42,719.55,27,TMP-S40A0U,32.81,2022-04-02,No
60,IKEA Toy Car,Logitech,Automotive,5659,446.31,518.52,15,TMP-WHC5M5,34.87,2020-09-10,No
61,Samsung Monitor,Samsung,Automotive,5687,341.32,679.58,37,TMP-O2SG03,23.5,2020-03-31,No
62,Adidas Lipstick,HP,Home & Kitchen,8624,419.55,483.14,42,TMP-CD7KHS,24.8,2023-06-18,No
63,Nike Laptop,Sony,Home and Kitchen,8758,420.83,549.1,37,TMP-PH3BYJ,37.9,2020-02-21,No
64,Samsung Laptop,Puma,Home & Kitchen,1964,36.58,57.23,48,TMP-PEDB5W,11.24,2023-11-24,No
65,Apple Headphones,Nike,Grocery,878,399.83,802.77,15,TMP-KGSLD2,6.47,2024-08-24,No
66,IKEA Mouse,Samsung,Toys,6175,422.7,719.37,32,TMP-D4J9IJ,38.76,2023-02-20,No
67,Canon Desk,IKEA,Clothing,2098,316.14,591.11,23,TMP-3MDKMB,42.5,2018-08-16,No
68,Logitech Lipstick,Nike,Electronics,5424,494.35,1001.73,32,TMP-TM3FK1,4.62,2025-06-01,No
69,Philips Toy Car,Whiskas,Home & Kitchen,483,494.98,835.65,25,TMP-7VA6PR,42.73,2018-07-03,No
70,Samsung Desk,Puma,Home & Kitchen,342,329.24,501.1,21,TMP-CZ5PR5,2.22,2018-08-21,No
71,Dell Football,Logitech,Clothing,3340,97.51,,39,TMP-BJCXKP,6.32,2022-05-23,No
72,,Nike,Automotive,9483,427.37,621.34,28,TMP-JQ4VJL,21.07,2025-05-31,No
73,Apple Mixer,Sony,Furniture,3872,365.17,764.1,24,TMP-5YFFNR,13.52,2026-03-03,No
74,Whiskas Phone,Whiskas,Clothing,1726,440.43,639.25,40,TMP-K8RGE0,42.69,2019-07-20,No
75,Samsung Lipstick,Canon,Automotive,6847,208.12,287.01,77,TMP-ZM8XPV,14.9,2020-08-04,No
76,KitchenAid Mixer,Apple,Home & Kitchen,4253,281.38,472.32,96,TMP-RCSTAA,2.74,2019-03-16,No
77,HP Desk,KitchenAid,Books,7246,488.11,714.08,18,TMP-DJ2JEI,37.62,2023-06-30,No
78,Puma Printer,Adidas,pet supplies,7813,108.02,173.54,93,TMP-3CY1WV,31.18,2019-07-13,No
79,Canon Laptop,IKEA,Clothing,1157,154.76,230.8,59,TMP-DFA865,12.17,2019-07-13,No
80,Sony Headphones,Sony,Clothing,4341,196.52,396.72,114,TMP-6FJK41,19.46,2024-12-20,No
81,LEGO Bottle,Dell,Office Supplies,9204,135.25,249.88,111,TMP-H94X0L,49.88,2018-09-08,No
82,Nike Printer,Nestle,Beauty,3260,27.38,49.7,32,TMP-8CIPHW,13.64,2021-11-17,No
83,KitchenAid Printer,Samsung,Office Supplies,10170,425.83,832.54,19,TMP-YLR07Z,38.12,2024-03-22,No
84,KitchenAid Printer,KitchenAid,Toys,6793,253.77,284.63,88,TMP-TL2M58,37.01,2019-12-10,No
85,Apple Dog Food,Dell,Electronics,5842,362.72,440.29,88,TMP-J3O00X,18.77,2024-07-21,No
86,Dell Printer,Puma,Toys,2712,92.73,127.03,102,TMP-14V1B5,12.81,2026-01-11,No
87,Apple Keyboard,LEGO,Clothing,385,88.79,149.25,56,TMP-34LJGU,28.14,2021-03-22,No
88,Dell Dog Food,Nestle,Beauty,8898,381.46,478.34,101,TMP-VQD5XL,27.64,2026-03-15,No
89,Adidas Lipstick,Canon,Clothing,1379,370.28,642.73,17,TMP-YJ27SN,7.06,2024-04-10,No
90,Puma Keyboard,Adidas,Office Supplies,7158,143.9,218.05,105,TMP-BLNT9M,6.01,2019-08-27,No
91,Canon Phone,HP,Furniture,6267,485.0,692.99,29,TMP-LK4NVG,9.24,2020-01-31,No
92,Logitech Monitor,Logitech,Home & Kitchen,2118,379.27,651.0,31,TMP-FYCIOD,24.07,2018-09-01,No
93,Samsung Dog Food,IKEA,Furniture,9634,139.26,214.13,118,TMP-XLR3FT,28.49,2020-01-04,No
94,LEGO Desk,Adidas,Automotive,2274,72.82,130.04,93,TMP-PSXXY6,49.23,2018-06-03,No
95,Nike Desk,Nestle,Home & Kitchen,857,266.99,550.28,19,TMP-B76F1I,46.75,2025-02-08,No
96,HP Monitor,Puma,Grocery,1503,24.94,41.19,42,TMP-I0PM0N,12.34,2020-03-23,No
97,LEGO Mixer,LEGO,Sports,2383,470.87,580.36,34,TMP-AHQZIO,17.56,2025-10-20,No
98,Dell Football,Adidas,Automotive,131,264.59,400.72,83,TMP-99TSA6,28.69,2021-04-20,No
99,HP Dog Food,KitchenAid,Office Supplies,8054,82.89,159.49,116,TMP-0O4Z18,48.77,2019-10-09,No
100,KitchenAid Desk,HP,Sports,9595,236.85,278.15,82,TMP-W8978J,35.71,2018-02-15,No
101,Nike Book,Nike,Toys,7879,397.32,553.41,24,TMP-M6GKV3,41.2,2020-01-10,No
102,KitchenAid Monitor,Dell,Toys,9561,81.66,146.63,33,TMP-F39314,24.7,2024-06-24,No
103,Canon Phone,Dell,PetSupply,4329,185.12,352.27,42,TMP-NKU2EJ,4.07,2025-08-20,No
104,Nestle Book,IKEA,Automotive,4677,227.08,312.1,50,TMP-HTTZ9R,43.85,2018-02-17,No
