supplier_id,supplier_name,city,country,supplier_type,lead_time,rating,legacy_supplier_code
1,Blue Supply 1,Miami,China,Wholesaler,9,3.1,LSC-0Y6DPBHS
2,Global Partners 2,Seattle,Mexico,Wholesaler,24,4.1,LSC-THV3A3ZM
3,Summit Trading 3,San Francisco,Mexico,Wholesaler,5,2.7,LSC-D4V30T9N
4,Evergreen Enterprises 4,Denver,China,Manufacturer,20,3.0,LSC-CX1945NQ
5,Rapid Wholesale 5,Denver,Vietnam,Manufacturer,13,3.0,LSC-J7XVG0FN
6,United Procurement 6,Los Angeles,South Korea,Distributor,9,4.6,LSC-2OC6UZHR
7,South Wholesale 7,Miami,Vietnam,Distributor,6,3.1,LSC-UJV6OH9S
8,Vertex Supply 8,Houston,Canada,Wholesaler,6,4.1,LSC-2PCN9T84
9,Global Distributors 9,Columbus,India,Wholesaler,26,3.2,LSC-XEPQ85JS
10,Apex Partners 10,Houston,Canada,Distributor,29,4.1,LSC-4SHNF877
11,Quantum Industrial 11,New York,India,Manufacturer,5,4.8,LSC-53LC58DR
12,Vertex Partners 12,Phoenix,India,Distributor,6,4.1,LSC-8FSV871Y
13,Evergreen Retail Supply 13,Denver,Mexico,Wholesaler,16,4.7,LSC-QICATVAZ
14,Prime Trading 14,Chicago,Japan,Manufacturer,30,2.6,LSC-LSKRT05U
15,United Industrial 15,Charlotte,USA,Wholesaler,8,2.7,LSC-XMO5BXXC
16,Quantum Distributors 16,Atlanta,Germany,Manufacturer,8,3.0,LSC-QPKI7P5T
17,Prime Partners 17,New York,South Korea,Wholesaler,4,4.8,LSC-4FRHOCN9
18,Nova Industrial 18,Boston,Germany,Wholesaler,15,4.2,LSC-02XRGHC0
19,Prime Procurement 19,Los Angeles,Japan,Manufacturer,3,4.0,LSC-S4F8CGVY
20,United Retail Supply 20,Houston,Germany,Manufacturer,30,3.9,LSC-UBCXULJY
21,Quantum Trading 21,Miami,China,Wholesaler,14,2.8,LSC-XQ77AWUD
22,Metro Partners 22,Miami,China,Distributor,6,4.8,LSC-55NF4ZW9
23,East Supply 23,Columbus,Germany,Manufacturer,11,4.8,LSC-D5J60FKH
24,Quantum Trading 24,Miami,South Korea,Wholesaler,18,3.7,LSC-64DPJA1W
25,Nova Wholesale 25,Detroit,South Korea,Distributor,19,4.3,LSC-UE8YFBNT
26,North Wholesale 26,Los Angeles,Vietnam,Wholesaler,11,3.4,LSC-78BMYYMU
27,North Enterprises 27,Phoenix,Germany,Wholesaler,9,4.7,LSC-935A0L72
28,United Logistics 28,Dallas,Vietnam,Manufacturer,27,,LSC-NBQH7M35
29,United Supply 29,Seattle,Mexico,Distributor,14,3.3,LSC-58KXO9T7
30,Blue Logistics 30,Dallas,Canada,Distributor,20,4.9,LSC-JDP0LVSN
31,Metro Logistics 31,Los Angeles,Japan,Wholesaler,24,3.6,LSC-S3Y70HP8
32, Quantum Enterprises 32 ,San Francisco,Vietnam,Wholesaler,23,4.6,LSC-ZKLOOKEP
33,Elite Wholesale 33,Portland,China,Distributor,20,3.3,LSC-TAKPUXQP
34,Metro Partners 34,Philadelphia,India,Distributor,27,4.8,LSC-2GDSWM31
35,Evergreen Trading 35,Seattle,China,Wholesaler,6,2.6,LSC-IR4COWGZ
36,West Retail Supply 36,Atlanta,USA,Wholesaler,6,4.1,LSC-A11DPG8S
37,Prime Partners 37,Atlanta,Thailand,Manufacturer,29,2.8,LSC-EQTUL1P3
38,East Retail Supply 38,Columbus,Vietnam,Manufacturer,16,4.7,LSC-0RJIW1SW
39,Nova Industrial 39,Chicago,China,Distributor,24,3.2,LSC-JLTEIYZC
40,North Procurement 40,Columbus,Thailand,Wholesaler,16,3.5,LSC-HP6VZ41N
41,Global Procurement 41,Boston,China,Distributor,26,3.5,LSC-64T026RJ
42,West Supply 42,Austin,Germany,Distributor,12,4.2,LSC-20479T6V
43,Global Distributors 43,Charlotte,China,Manufacturer,6,4.7,LSC-GJLQM5K8
44,North Logistics 44,Chicago,USA,Distributor,17,2.5,LSC-T9MX2X18
45,Metro Supply 45,Portland,Germany,Distributor,6,3.1,LSC-RE8QJNV8
46,Blue Wholesale 46,Boston,Mexico,Wholesaler,5,3.9,LSC-7U6N7HV3
47,United Distributors 47,Boston,Vietnam,Manufacturer,29,4.2,LSC-22UBTXCX
48,Global Retail Supply 48,Philadelphia,China,Manufacturer,5,3.6,LSC-N6QFGSXW
49,West Industrial 49,Charlotte,Thailand,Distributor,28,4.3,LSC-J43D5IQV
50,Elite Procurement 50,New York,Canada,Distributor,17,4.6,LSC-GH2M5ZJA
51,Metro Distributors 51,Atlanta,USA,Manufacturer,25,3.5,LSC-TIRZQAKO
52,United Logistics 52,Nashville,Thailand,Wholesaler,13,,LSC-TP0LZJJE
53,Metro Procurement 53,Houston,Germany,Distributor,25,3.8,LSC-1GHR09SK
54,Blue Trading 54,Boston,Thailand,Wholesaler,9,,LSC-KZEBBK7W
55,West Distributors 55,New York,Canada,Distributor,20,3.2,LSC-RM8J5ECR
56,Prime Wholesale 56,Phoenix,Japan,Distributor,27,3.9,LSC-K9E1V2IS
57,South Industrial 57,Boston,Thailand,Manufacturer,29,4.0,LSC-PUC8D1WJ
58,Vertex Wholesale 58,Atlanta,South Korea,Distributor,7,3.9,LSC-FOYQBKK4
59,Vertex Trading 59,Miami,Canada,Wholesaler,27,,LSC-V2HEIFJF
60,Prime Wholesale 60,Boston,South Korea,Wholesaler,21,4.4,LSC-UKEYZ7SR
61,Vertex Enterprises 61,Los Angeles,Canada,Distributor,30,3.6,LSC-LJD84U89
62,Nova Enterprises 62,Los Angeles,South Korea,Wholesaler,26,4.4,LSC-QX6GVWRD
63,Rapid Retail Supply 63,San Francisco,Mexico,Wholesaler,12,4.2,LSC-4LYK83TQ
64,Quantum Logistics 64,San Francisco,Vietnam,Distributor,5,4.9,LSC-OS9XTOGN
65,West Industrial 65,Los Angeles,USA,Manufacturer,8,3.2,LSC-EK5RBW2Z
66, Evergreen Partners 66 ,New York,India,Wholesaler,19,3.5,LSC-I4E8XF7K
67,Nova Retail Supply 67,Philadelphia,Japan,Distributor,17,,LSC-TN7S55J2
68,North Procurement 68,San Jose,Vietnam,Wholesaler,10,4.6,LSC-KKV9RFTM
69,Elite Industrial 69,San Francisco,Japan,Distributor,29,3.0,LSC-ZUI1B0Z3
70,Elite Wholesale 70,Philadelphia,Germany,Wholesaler,3,,LSC-8LD4D6AF
71,Summit Distributors 71,Philadelphia,Vietnam,Distributor,27,4.9,LSC-MYX444NL
72, West Partners 72 ,Los Angeles,Canada,Distributor,21,2.7,LSC-W790PDW5
73,South Wholesale 73,Boston,Mexico,Distributor,30,2.6,LSC-LCMPIOYG
74,Apex Distributors 74,Portland,Thailand,Wholesaler,29,3.5,LSC-YRUIWQY6
75,South Logistics 75,Columbus,Japan,Wholesaler,7,2.7,LSC-89K8YQK9
76,West Distributors 76,Atlanta,China,Wholesaler,14,0.0,LSC-U9K9XJUY
77,Prime Enterprises 77,Philadelphia,USA,Manufacturer,28,,LSC-K2VMWWYZ
78,Summit Distributors 78,Los Angeles,Thailand,Manufacturer,11,4.5,LSC-BNE6LOH2
79,Rapid Partners 79,San Jose,South Korea,Wholesaler,10,4.6,LSC-J3R30ME8
80,Summit Trading 80,Austin,China,Manufacturer,29,4.5,LSC-N2ATQYYV
81,Rapid Distributors 81,Atlanta,USA,Wholesaler,17,2.6,LSC-5U6HC36K
82,North Distributors 82,Phoenix,Japan,Manufacturer,3,4.9,LSC-KRD5EQY0
83,North Enterprises 83,Phoenix,India,Distributor,30,,LSC-DRO8BNP8
84,Rapid Distributors 84,Denver,USA,Wholesaler,19,,LSC-XCJ883DH
85,Global Supply 85,San Francisco,Thailand,Distributor,9,5.0,LSC-2H3TV3I1
86,Global Logistics 86,Phoenix,Germany,Manufacturer,6,3.9,LSC-2D5EM2VA
87,Nova Supply 87,Phoenix,Japan,Manufacturer,25,3.6,LSC-ECQNVQHW
88,East Logistics 88,Detroit,Canada,Distributor,22,4.9,LSC-CROYR6CC
89,Summit Distributors 89,Phoenix,Thailand,Manufacturer,10,4.1,LSC-VZNVKSP2
