warehouse_id,warehouse_name,city,state,warehouse_type,capacity,internal_note
1,WH-00001,Seattle,Washington,Fulfillment Center,73160,INT-T5GIBEA
2,WH-00002,Chicago,Illinois,Distribution Center,72333,INT-YKWV1YM
3,WH-00003,Dallas,Texas,Fulfillment Center,42057,INT-WECD8DW
4,WH-00004,Phoenix,Arizona,Fulfillment Center,9587,INT-MDRGE01
5,WH-00005,New York,New York,Cross Dock,93305,INT-8YZ0Z43
6,WH-00006,Dallas,Texas,Distribution Center,66718,INT-WVTIQ2Y
7,WH-00007,Dallas,Texas,Cross Dock,85773,INT-34BFIA1
8,WH-00008,Denver,Colorado,Regional DC,77875,INT-T9MHEM4
9,WH-00009,Boston,Massachusetts,Fulfillment Center,98939,INT-CPBWEGX
10,WH-00010,Detroit,Michigan,Cross Dock,5707,INT-WKXJAJY
11,WH-00011,Denver,Colorado,Cross Dock,93897,INT-G43K8JC
12,WH-00012,Miami,Florida,Fulfillment Center,83603,INT-L2CROK5
13,WH-00013,Atlanta,Georgia,Fulfillment Center,14538,INT-LEEE7OM
14,WH-00014,,Unknown,Regional DC,16039,INT-JUE0SNB
15,WH-00015,Houston,Texas,Regional DC,78407,INT-RS5Y9QE
16,WH-00016,Charlotte,North Carolina,Fulfillment Center,83273,INT-NE86FA6
17,WH-00017,Seattle,Washington,Cross Dock,88221,INT-Y2N80YQ
18,WH-00018,Houston,Texas,Fulfillment Center,25495,INT-Y0ALTHE
19,WH-00019,Houston,Texas,Fulfillment Center,76254,INT-AEOSWLE
20,WH-00020,Charlotte,North Carolina,Cross Dock,87821,INT-FWCT79W
21,WH-00021,Phoenix,Arizona,Cross Dock,7137,INT-BHHFGE5
22,WH-00022,Portland,Oregon,Cross Dock,25668,INT-6ZJNNV8
23,WH-00023,,Unknown,Regional DC,39520,INT-11F8RK6
24,WH-00024,Atlanta,Georgia,Fulfillment Center,66913,INT-KKUQ9RE
25,WH-00025,Austin,Texas,Regional DC,41518,INT-VJI61MN
26,WH-00026,Seattle,Washington,Distribution Center,61280,INT-L9TZDIT
